ID,Date,Saut1,Saut2,Saut3
1,27/04/2018,2.77,2.83,2.59
1,11/05/2018,2.63,3.04,2.80
1,18/05/2018,2.73,2.72,2.74
1,22/05/2018,2.78,2.85,2.75
1,30/05/2018,2.59,2.64,2.87
1,30/06/2018,2.85,2.88,2.86
1,08/06/2018,2.13,2.84,2.61
1,13/06/2018,2.79,2.91,2.66
1,15/06/2018,2.72,3.02,3.09
1,20/06/2018,2.88,2.94,2.53
1,18/07/2018,2.83,2.86,2.64
2,27/04/2018,2.56,2.80,2.67
2,16/05/2018,2.66,2.64,2.61
2,18/05/2018,2.45,2.53,2.53
2,23/05/2018,2.80,2.38,2.40
2,01/06/2018,2.71,2.59,2.07
2,12/09/2018,2.51,2.51,2.72
2,19/09/2018,2.53,2.56,2.59
3,27/04/2018,2.77,2.83,2.59
3,11/05/2018,2.59,2.72,2.67
3,27/06/2018,2.98,3.27,2.96
4,18/05/2018,2.85,2.77,2.80
4,22/05/2018,2.83,2.83,2.83
4,30/05/2018,2.83,2.63,2.77
4,01/06/2018,2.68,2.75,2.78
4,06/06/2018,2.83,2.78,2.80
4,08/06/2018,2.77,2.80,2.80
4,27/06/2018,2.87,2.99,2.79
5,16/05/2018,2.77,2.83,2.75
5,23/05/2018,3.15,3.23,2.80
5,06/06/2018,2.68,2.58,2.84
5,13/06/2018,2.72,2.80,2.83
5,19/09/2018,2.59,2.53,2.56
6,25/04/2018,2.95,3.52,3.06
6,02/05/2018,2.99,3.28,3.41
6,16/05/2018,03.01,2.96,2.77
6,23/05/2018,2.88,3.02,3.01
6,06/06/2018,03.07,3.12,3.08
6,13/06/2018,03.03,2.71,3.18
6,20/06/2018,2.99,2.91,2.99
6,18/07/2018,3.17,3.17,3.01
7,27/04/2018,2.43,2.53,2.50
7,04/05/2018,2.56,2.59,2.56
7,09/05/2018,2.56,2.53,2.53
7,11/05/2018,2.72,2.67,2.72
7,16/05/2018,2.59,2.59,2.56
7,18/05/2018,2.40,2.43,2.37
7,30/05/2018,2.29,2.40,2.40
7,01/06/2018,2.27,2.43,2.43
7,08/06/2018,2.53,2.26,2.35
7,15/06/2018,2.42,2.51,2.48
8,27/04/2018,3.15,3.20,3.15
8,02/05/2018,1.88,2.80,2.78
8,04/05/2018,2.94,3.05,3.04
8,09/05/2018,2.99,3.04,3.01
8,16/05/2018,3.33,3.12,3.04
8,30/05/2018,3.15,3.47,3.09
8,01/06/2018,3.47,3.33,3.42
8,08/06/2018,3.42,3.42,3.31
8,13/06/2018,3.28,3.28,2.99
8,15/06/2018,3.22,2.06,2.79
8,04/07/2018,3.22,2.58,2.96
9,27/04/2018,3.15,3.20,3.15
9,02/05/2018,1.88,2.80,2.78
9,04/05/2018,2.94,3.05,3.04
9,11/05/2018,2.95,3.21,3.45
9,22/05/2018,3.34,3.07,3.12
9,23/05/2018,03.04,3.15,3.12
9,30/05/2018,2.40,3.34,3.20
9,01/06/2018,3.25,3.27,3.08
9,06/06/2018,3.12,3.08,2.91
10,25/04/2018,2.19,3.23,2.55
10,22/05/2018,2.85,2.83,3.20
10,27/06/2018,2.43,2.83,2.79
10,04/07/2018,2.42,2.77,1.95
11,01/06/2018,2.48,2.75,2.42
11,18/07/2018,2.59,2.48,2.43
11,19/09/2018,2.59,2.61,2.61
12,27/04/2018,2.75,2.64,2.67
12,11/05/2018,03.07,2.80,2.83
13,25/04/2018,03.06,3.11,3.09
13,22/05/2018,2.64,2.68,2.75
13,13/06/2018,2.75,2.75,3.06
13,20/06/2018,2.48,2.78,2.79
13,18/07/2018,2.72,2.80,2.70
