Jour,charge
Lundi,225
Lundi,180
Lundi,495
Lundi,198
Lundi,288
Lundi,963
Lundi,462
Lundi,504
Lundi,210
Mardi,252
Mardi,165
Mardi,420
Mardi,198
Mardi,186
mercredi,630
mercredi,198
mercredi,270
mercredi,542
mercredi,425
mercredi,130
mercredi,459
mercredi,236
jeudi,"351,5"
jeudi,160
jeudi,504
jeudi,310
jeudi,306
jeudi,90
jeudi,240
jeudi,360
vendredi,225
vendredi,99
vendredi,495
vendredi,243
vendredi,306
vendredi,486
vendredi,366
vendredi,366
samedi,420
samedi,75
samedi,660
samedi,330
samedi,198
Dimanche,0
